popularity,budget,revenue,genres,vote_count,vote_average,budget_adj,revenue_adj
32.985763,150000000,1513528810,Action|Adventure|Science Fiction|Thriller,5562,6.5,137999939.280026,1392445892.5238
28.419936,150000000,378436354,Action|Adventure|Science Fiction|Thriller,6185,7.1,137999939.280026,348161292.489031
13.112507,110000000,295238201,Adventure|Science Fiction|Thriller,2480,6.3,101199955.472019,271619025.407628
11.173104,200000000,2068178225,Action|Adventure|Science Fiction|Fantasy,5292,7.5,183999919.040035,1902723129.80182
9.335014,190000000,1506249360,Action|Crime|Thriller,2947,7.3,174799923.088033,1385748801.47052
9.1107,135000000,532950503,Western|Drama|Adventure|Thriller,3929,7.2,124199945.352024,490314247.021731
8.654359,155000000,440603537,Science Fiction|Action|Thriller|Adventure,2598,5.8,142599937.256027,405355075.683766
7.6674,108000000,595380321,Drama|Adventure|Science Fiction,4572,7.6,99359956.2816192,547749654.310152
7.40416499999999,74000000,1156730962,Family|Animation|Adventure|Comedy,2893,6.5,68079970.0448131,1064192016.79551
6.326804,175000000,853708609,Comedy|Animation|Family,3935,8.0,160999929.160031,785411574.698907
6.200282,245000000,880674609,Action|Adventure|Crime,3254,6.2,225399900.824043,810220283.783075
6.189369,176000003,183987723,Science Fiction|Fantasy|Action|Adventure,1937,5.2,161919931.51523,169268630.681802
6.118847,15000000,36869414,Drama|Science Fiction,2854,7.6,13799993.9280026,33919845.9552677
5.984995,88000000,243637091,Action|Comedy|Science Fiction,1575,5.8,80959964.3776156,224146025.095748
5.944927,280000000,1405035767,Action|Adventure|Science Fiction,4304,7.4,257599886.656049,1292632336.88177
5.8984,44000000,155760117,Crime|Drama|Mystery|Western,2389,7.4,40479982.1888078,143299244.588332
5.749758,48000000,325771424,Crime|Action|Thriller,1578,6.1,44159980.5696085,299709578.207785
5.573184,130000000,518602163,Science Fiction|Action|Adventure,3779,7.0,119599947.376023,477113780.029936
5.556818,95000000,542351353,Romance|Fantasy|Family|Drama,1495,6.8,87399961.5440169,498963025.216268
5.476958,160000000,650523427,War|Adventure|Science Fiction,2380,6.5,147199935.232028,598481289.508232
5.462138,190000000,209035668,Action|Family|Science Fiction|Adventure|Mystery,1899,6.2,174799923.088033,192312729.942398
5.337064,30000000,91709827,Action|Drama,1386,7.3,27599987.8560053,84373003.7158783
4.907832,110000000,470490832,Action|Drama|Thriller,2060,6.1,101199955.472019,432851374.985395
4.71040199999999,40000000,569651467,Drama|Romance,1865,5.3,36799983.8080071,524079119.045187
4.648046,28000000,133346506,Comedy|Drama,1545,7.3,25759988.6656049,122678731.541358
4.566713,150000000,682330139,Action,2349,7.1,137999939.280026,627743451.672881
4.564549,68000000,215863606,Comedy,1666,6.3,62559972.4736121,198594430.13845
4.503789,81000000,403802136,Crime|Comedy|Action|Adventure,3833,7.6,74519967.2112144,371497801.660967
4.062293,20000000,88346473,Drama|Thriller|History,1559,7.8,18399991.9040035,81278719.3973634
3.968891,61000000,311256926,Action|Science Fiction|Thriller,1849,6.4,56119975.3072108,286356245.923251
3.927333,0,29355203,Mystery|Drama,425,6.4,0.0,27006774.877019
3.899557,49000000,102069268,Crime|Action|Science Fiction,1990,6.6,45079980.1648087,93903685.2423785
3.877764,29000000,287506194,Comedy|Music,1264,6.8,26679988.2608051,264505582.097543
3.64821,40000000,162610473,Thriller|Drama,1638,7.1,36799983.8080071,149601569.335309
3.644541,58000000,150170815,Adventure|Horror|Comedy,600,6.2,53359976.5216103,138157089.01088
3.557846,6000000,35401758,Drama|Thriller,1520,8.0,5519997.57120106,32569603.0293746
